City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Secu,RO,44.4667,23.3,41.0,81,0,3.44,clear sky
157,Maun,BW,-19.9833,23.4167,69.03,88,87,4.41,overcast clouds
158,Zvenyhorodka,UA,49.0787,30.9675,32.38,97,98,15.99,light snow
159,Pontivy,FR,48.0,-3.0,51.8,93,90,11.5,overcast clouds
160,Tura,IN,25.5198,90.2201,50.05,49,0,3.11,clear sky
161,Celestun,MX,20.8667,-90.4,74.52,66,100,8.23,overcast clouds
162,Kahta,TR,37.7855,38.6237,37.4,100,90,18.41,moderate rain
163,Natal,BR,-5.795,-35.2094,78.8,83,20,6.91,few clouds
164,Abha,SA,18.2164,42.5053,55.4,66,0,4.61,clear sky
165,Qaanaaq,GL,77.484,-69.3632,-5.6,74,98,3.36,overcast clouds
166,La Ronge,CA,55.1001,-105.2842,12.2,85,6,1.14,clear sky
167,Umarkot,PK,25.3616,69.7362,53.96,49,0,5.66,clear sky
168,Lazaro Cardenas,MX,17.9583,-102.2,77.59,78,0,3.6,clear sky
169,Pevek,RU,69.7008,170.3133,-33.25,84,9,2.08,clear sky
170,Namtsy,RU,62.7161,129.6658,-49.0,59,100,3.44,fog
171,Trud,BG,42.2333,24.7333,41.0,80,1,2.3,clear sky
172,East London,ZA,-33.0153,27.9116,69.93,85,70,3.36,broken clouds
173,Thinadhoo,MV,0.5333,72.9333,81.72,77,3,11.39,light rain
174,Pimenta Bueno,BR,-11.6725,-61.1936,75.18,92,100,3.38,overcast clouds
175,Kashi,CN,39.4547,75.9797,24.8,58,20,8.95,few clouds
176,Naze,JP,28.3667,129.4833,60.8,55,40,9.22,scattered clouds
177,Polovinnoye,RU,54.7914,65.9864,9.64,95,25,4.97,scattered clouds
178,Gashua,NG,12.871,11.0482,65.93,25,0,10.51,clear sky
179,Namatanai,PG,-3.6667,152.4333,84.52,67,100,13.22,overcast clouds
180,Malanje,AO,-9.5402,16.341,63.64,97,100,4.41,overcast clouds
181,San Fernando,PH,15.0286,120.6898,73.4,60,75,9.22,broken clouds
182,Clyde River,CA,70.4692,-68.5914,-9.4,84,90,5.75,overcast clouds
183,Jardim,BR,-21.4803,-56.1381,77.14,82,4,6.78,clear sky
184,North Bend,US,43.4065,-124.2243,48.2,100,90,6.33,mist
185,Medea,DZ,36.2642,2.7539,62.6,63,75,18.41,broken clouds
186,Peruibe,BR,-24.32,-46.9983,76.42,86,100,2.8,overcast clouds
187,Yazman,PK,29.1212,71.7446,51.98,33,0,2.86,clear sky
188,Messina,IT,38.1933,15.5497,57.99,76,20,2.3,few clouds
189,Lorengau,PG,-2.0226,147.2712,82.87,81,100,11.12,overcast clouds
190,Casas Grandes,MX,30.3667,-107.95,53.01,41,0,1.01,clear sky
191,Praya,CV,14.9215,-23.5087,73.4,56,0,17.27,clear sky
192,Mayo,US,38.8876,-76.5119,30.2,59,1,4.27,clear sky
193,Hithadhoo,MV,-0.6,73.0833,81.77,79,99,14.12,overcast clouds
194,Nikolskoye,RU,59.7035,30.7861,25.0,93,75,6.71,light snow
195,Vitim,RU,59.4511,112.5578,-32.73,80,100,5.46,overcast clouds
196,Ponorogo,ID,-7.8685,111.462,79.72,77,90,0.69,overcast clouds
197,Waingapu,ID,-9.6567,120.2641,80.35,78,100,14.25,moderate rain
198,Tshikapa,CD,-6.4167,20.8,72.1,93,100,6.98,heavy intensity rain
199,Longyearbyen,SJ,78.2186,15.6401,-5.8,65,20,19.57,few clouds
200,Roma,US,43.2128,-75.4557,14.0,79,90,4.61,overcast clouds
